ID,mechanism,fold
AIA11014.1,antibiotic target alteration,0
AIA10928.1,antibiotic efflux,0
AIA10843.1,antibiotic inactivation,0
AIA10796.1,antibiotic target alteration,0
AIA10712.1,antibiotic target alteration,0
AIA10695.1,antibiotic efflux,0
AIA10676.1,antibiotic target replacement,0
AIA10619.1,antibiotic target alteration,0
AIA10620.1,antibiotic target replacement,0
AIA10605.1,antibiotic target alteration,0
AIA10568.1,antibiotic target alteration,0
AIA10562.1,antibiotic target alteration,0
AIA10494.1,antibiotic target replacement,0
AIA10490.1,antibiotic target replacement,0
AIA19293.1,antibiotic target replacement,0
AIA19286.1,antibiotic target alteration,0
AIA19276.1,antibiotic target alteration,0
AIA19265.1,antibiotic target replacement,0
AIA19241.1,antibiotic target replacement,0
AIA19228.1,antibiotic efflux,0
AIA19222.1,antibiotic inactivation,0
AIA19187.1,antibiotic target alteration,0
AIA19184.1,antibiotic target alteration,0
AIA19098.1,antibiotic efflux,0
AIA19077.1,antibiotic target replacement,0
AIA19067.1,antibiotic efflux,0
AIA19068.1,antibiotic inactivation,0
AIA19065.1,antibiotic inactivation,0
AIA19064.1,antibiotic efflux,0
AIA19058.1,antibiotic inactivation,0
AIA19045.1,antibiotic inactivation,0
AIA19030.1,antibiotic target alteration,0
AIA18996.1,antibiotic target alteration,0
AIA18967.1,antibiotic target replacement,0
AIA18940.1,antibiotic efflux,0
AIA18915.1,antibiotic target replacement,0
AIA18892.1,antibiotic inactivation,0
AIA18822.1,antibiotic efflux,0
AIA18798.1,antibiotic efflux,0
AIA18793.1,antibiotic efflux,0
AIA18774.1,antibiotic target alteration,0
AIA18763.1,antibiotic target replacement,0
AIA18755.1,antibiotic target replacement,0
AIA18733.1,antibiotic target replacement,0
AIA18723.1,antibiotic target replacement,0
AIA18690.1,antibiotic target replacement,0
AIA18688.1,antibiotic target replacement,0
AIA18636.1,antibiotic target replacement,0
AIA18562.1,antibiotic efflux,0
AIA18561.1,antibiotic efflux,0
AIA18492.1,antibiotic target replacement,0
AIA18472.1,antibiotic inactivation,0
AIA18463.1,antibiotic target replacement,0
AIA18401.1,antibiotic inactivation,0
AIA18380.1,antibiotic target alteration,0
AIA18382.1,antibiotic inactivation,0
AIA18376.1,antibiotic target alteration,0
AIA18360.1,antibiotic inactivation,0
AIA18324.1,antibiotic target replacement,0
AIA18215.1,antibiotic efflux,0
AIA18179.1,antibiotic inactivation,0
AIA18162.1,antibiotic target replacement,0
AIA18130.1,antibiotic target replacement,0
AIA18097.1,antibiotic inactivation,0
AIA18087.1,antibiotic target alteration,0
AIA18058.1,antibiotic target alteration,0
AIA17966.1,antibiotic efflux,0
AIA17950.1,antibiotic efflux,0
AIA17946.1,antibiotic efflux,0
AIA17932.1,antibiotic target replacement,0
AIA17765.1,antibiotic target replacement,0
AIA17753.1,antibiotic efflux,0
AIA17749.1,antibiotic target alteration,0
AIA17730.1,antibiotic target alteration,0
AIA17705.1,antibiotic target replacement,0
AIA17686.1,antibiotic target replacement,0
AIA17671.1,antibiotic target alteration,0
AIA17661.1,antibiotic inactivation,0
AIA17627.1,antibiotic efflux,0
AIA17596.1,antibiotic inactivation,0
AIA17588.1,antibiotic inactivation,0
AIA17591.1,others,0
AIA17579.1,antibiotic target alteration,0
AIA17574.1,antibiotic target replacement,0
AIA17560.1,antibiotic target replacement,0
AIA17499.1,antibiotic target replacement,0
AIA17474.1,antibiotic target replacement,0
AIA17432.1,antibiotic efflux,0
AIA17419.1,antibiotic target replacement,0
AIA17398.1,antibiotic target replacement,0
AIA17391.1,antibiotic target replacement,0
AIA17352.1,antibiotic target alteration,0
AIA17342.1,antibiotic target replacement,0
AIA17320.1,antibiotic target replacement,0
AIA17303.1,antibiotic target replacement,0
AIA17286.1,antibiotic inactivation,0
AIA17202.1,antibiotic target alteration,0
AIA17167.1,antibiotic target replacement,0
AIA17120.1,antibiotic inactivation,0
AIA17099.1,antibiotic target alteration,0
AIA17055.1,antibiotic target alteration,0
AIA17030.1,antibiotic inactivation,0
AIA17028.1,antibiotic target replacement,0
AIA17017.1,antibiotic inactivation,0
AIA17013.1,antibiotic target replacement,0
AIA17006.1,antibiotic efflux,0
AIA16993.1,antibiotic efflux,0
AIA16990.1,antibiotic inactivation,0
AIA16979.1,antibiotic efflux,0
AIA16956.1,antibiotic target alteration,0
AIA16922.1,antibiotic target replacement,0
AIA16885.1,antibiotic target replacement,0
AIA16861.1,antibiotic target alteration,0
AIA16848.1,antibiotic target alteration,0
AIA16817.1,antibiotic target replacement,0
AIA16734.1,antibiotic target replacement,0
AIA16694.1,antibiotic inactivation,0
AIA16660.1,antibiotic inactivation,0
AIA16655.1,antibiotic efflux,0
AIA16646.1,antibiotic inactivation,0
AIA16615.1,antibiotic target alteration,0
AIA16597.1,antibiotic target alteration,0
AIA16556.1,antibiotic target replacement,0
AIA16543.1,antibiotic inactivation,0
AIA16537.1,antibiotic target alteration,0
AIA16530.1,antibiotic inactivation,0
AIA16494.1,antibiotic target replacement,0
AIA16483.1,antibiotic target replacement,0
AIA16426.1,antibiotic inactivation,0
AIA16417.1,antibiotic target alteration,0
AIA16415.1,antibiotic inactivation,0
AIA16348.1,antibiotic target replacement,0
AIA16331.1,antibiotic target alteration,0
AIA16282.1,antibiotic inactivation,0
AIA16273.1,antibiotic inactivation,0
AIA16257.1,antibiotic inactivation,0
AIA16226.1,antibiotic target replacement,0
AIA16217.1,antibiotic target replacement,0
AIA16210.1,antibiotic inactivation,0
AIA16205.1,antibiotic inactivation,0
AIA16151.1,antibiotic efflux,0
AIA16144.1,antibiotic efflux,0
AIA16124.1,antibiotic target alteration,0
AIA16059.1,antibiotic target replacement,0
AIA16024.1,antibiotic target alteration,0
AIA16008.1,antibiotic inactivation,0
AIA16005.1,antibiotic inactivation,0
AIA16001.1,antibiotic target alteration,0
AIA16000.1,antibiotic target alteration,0
AIA15993.1,antibiotic target replacement,0
AIA15977.1,antibiotic efflux,0
AIA15966.1,antibiotic target replacement,0
AIA15934.1,antibiotic inactivation,0
AIA15864.1,antibiotic target replacement,0
AIA15851.1,antibiotic inactivation,0
AIA15785.1,antibiotic target replacement,0
AIA15783.1,antibiotic target replacement,0
AIA15739.1,antibiotic target replacement,0
AIA15718.1,antibiotic target replacement,0
AIA15680.1,antibiotic efflux,0
AIA15674.1,antibiotic inactivation,0
AIA15650.1,antibiotic efflux,0
AIA15642.1,antibiotic inactivation,0
AIA15636.1,antibiotic target replacement,0
AIA15577.1,antibiotic target alteration,0
AIA15507.1,antibiotic efflux,0
AIA15493.1,antibiotic efflux,0
AIA15491.1,antibiotic target replacement,0
AIA15475.1,antibiotic target alteration,0
AIA15453.1,antibiotic inactivation,0
AIA15450.1,antibiotic efflux,0
AIA15430.1,antibiotic target replacement,0
AIA15431.1,antibiotic inactivation,0
AIA15415.1,antibiotic target replacement,0
AIA15413.1,antibiotic target replacement,0
AIA15412.1,antibiotic target replacement,0
AIA15385.1,antibiotic target alteration,0
AIA15376.1,antibiotic inactivation,0
AIA15355.1,antibiotic target alteration,0
AIA15323.1,antibiotic efflux,0
AIA15296.1,antibiotic inactivation,0
AIA15288.1,antibiotic inactivation,0
AIA15249.1,antibiotic efflux,0
AIA15232.1,antibiotic target replacement,0
AIA15183.1,antibiotic target replacement,0
AIA15181.1,antibiotic target replacement,0
AIA15112.1,antibiotic target replacement,0
AIA15104.1,antibiotic inactivation,0
AIA15092.1,antibiotic target replacement,0
AIA15048.1,antibiotic inactivation,0
AIA15045.1,antibiotic inactivation,0
AIA15000.1,antibiotic efflux,0
AIA14994.1,antibiotic inactivation,0
AIA14963.1,antibiotic target replacement,0
AIA14953.1,antibiotic target replacement,0
AIA14947.1,antibiotic target alteration,0
AIA14935.1,antibiotic target alteration,0
AIA14910.1,antibiotic efflux,0
AIA14872.1,antibiotic target alteration,0
AIA14867.1,antibiotic inactivation,0
AIA14857.1,antibiotic target alteration,0
AIA14856.1,antibiotic efflux,0
AIA14806.1,antibiotic target alteration,0
AIA14767.1,antibiotic target replacement,0
AIA14764.1,antibiotic target alteration,0
AIA14748.1,antibiotic efflux,0
AIA14746.1,antibiotic efflux,0
AIA14743.1,antibiotic efflux,0
AIA14733.1,antibiotic target alteration,0
AIA14720.1,antibiotic target replacement,0
AIA14717.1,antibiotic efflux,0
AIA14703.1,antibiotic inactivation,0
AIA14647.1,antibiotic target replacement,0
AIA14643.1,antibiotic target replacement,0
AIA14636.1,antibiotic target alteration,0
AIA14623.1,antibiotic inactivation,0
AIA14607.1,antibiotic target alteration,0
AIA14584.1,antibiotic target alteration,0
AIA14572.1,antibiotic efflux,0
AIA14542.1,antibiotic target alteration,0
AIA14513.1,antibiotic inactivation,0
AIA14483.1,antibiotic efflux,0
AIA14466.1,antibiotic inactivation,0
AIA14464.1,antibiotic efflux,0
AIA14434.1,antibiotic target replacement,0
AIA14405.1,antibiotic inactivation,0
AIA14394.1,antibiotic inactivation,0
AIA14368.1,antibiotic target replacement,0
AIA14352.1,antibiotic efflux,0
AIA14349.1,antibiotic efflux,0
AIA14347.1,antibiotic efflux,0
AIA14348.1,antibiotic efflux,0
AIA14334.1,antibiotic target replacement,0
AIA14313.1,antibiotic target replacement,0
AIA14296.1,antibiotic target replacement,0
AIA14291.1,antibiotic target replacement,0
AIA14239.1,antibiotic efflux,0
AIA14191.1,antibiotic target alteration,0
AIA14182.1,antibiotic efflux,0
AIA14139.1,antibiotic target replacement,0
AIA14136.1,antibiotic target replacement,0
AIA14115.1,antibiotic target alteration,0
AIA14104.1,antibiotic efflux,0
AIA14067.1,antibiotic inactivation,0
AIA14055.1,antibiotic efflux,0
AIA14050.1,antibiotic inactivation,0
AIA14034.1,antibiotic efflux,0
AIA14015.1,antibiotic target replacement,0
AIA14016.1,antibiotic inactivation,0
AIA13945.1,antibiotic target replacement,0
AIA13928.1,antibiotic inactivation,0
AIA13914.1,antibiotic target replacement,0
AIA13903.1,antibiotic inactivation,0
AIA13898.1,antibiotic target replacement,0
AIA13846.1,antibiotic inactivation,0
AIA13845.1,antibiotic inactivation,0
AIA13842.1,antibiotic target alteration,0
AIA13800.1,antibiotic target replacement,0
AIA13694.1,antibiotic target replacement,0
AIA13681.1,antibiotic efflux,0
AIA13671.1,antibiotic target alteration,0
AIA13649.1,antibiotic inactivation,0
AIA13631.1,antibiotic inactivation,0
AIA13589.1,antibiotic efflux,0
AIA13591.1,antibiotic inactivation,0
AIA13574.1,antibiotic target replacement,0
AIA13557.1,antibiotic inactivation,0
AIA13531.1,antibiotic inactivation,0
AIA13519.1,antibiotic efflux,0
AIA13512.1,antibiotic inactivation,0
AIA13496.1,antibiotic target replacement,0
AIA13453.1,antibiotic target alteration,0
AIA13444.1,antibiotic target replacement,0
AIA13419.1,antibiotic target replacement,0
AIA13407.1,antibiotic target alteration,0
AIA13399.1,antibiotic inactivation,0
AIA13382.1,antibiotic inactivation,0
AIA13370.1,antibiotic target alteration,0
AIA13286.1,antibiotic inactivation,0
AIA13223.1,antibiotic target replacement,0
AIA13217.1,antibiotic target replacement,0
AIA13177.1,antibiotic inactivation,0
AIA13128.1,antibiotic target replacement,0
AIA13116.1,antibiotic inactivation,0
AIA13052.1,antibiotic inactivation,0
AIA13044.1,antibiotic inactivation,0
AIA13032.1,antibiotic target alteration,0
AIA13012.1,antibiotic target replacement,0
AIA12960.1,antibiotic target alteration,0
AIA12924.1,antibiotic efflux,0
AIA12908.1,antibiotic inactivation,0
AIA12882.1,antibiotic target alteration,0
AIA12856.1,antibiotic target replacement,0
AIA12824.1,antibiotic efflux,0
AIA12797.1,antibiotic efflux,0
AIA12696.1,antibiotic target replacement,0
AIA12691.1,antibiotic efflux,0
AIA12687.1,antibiotic inactivation,0
AIA12673.1,antibiotic inactivation,0
AIA12600.1,antibiotic efflux,0
AIA12589.1,antibiotic inactivation,0
AIA12579.1,antibiotic inactivation,0
AIA12540.1,antibiotic target replacement,0
AIA12534.1,antibiotic efflux,0
AIA12448.1,antibiotic efflux,0
AIA12408.1,antibiotic efflux,0
AIA12378.1,antibiotic efflux,0
AIA12324.1,antibiotic target replacement,0
AIA12311.1,antibiotic efflux,0
AIA12291.1,antibiotic inactivation,0
AIA12287.1,antibiotic inactivation,0
AIA12253.1,antibiotic inactivation,0
AIA12239.1,antibiotic target alteration,0
AIA12183.1,antibiotic target replacement,0
AIA12090.1,antibiotic inactivation,0
AIA12071.1,antibiotic efflux,0
AIA12065.1,antibiotic inactivation,0
AIA12058.1,antibiotic inactivation,0
AIA12045.1,antibiotic inactivation,0
AIA12037.1,antibiotic inactivation,0
AIA12036.1,antibiotic inactivation,0
AIA11953.1,antibiotic target alteration,0
AIA11922.1,antibiotic inactivation,0
AIA11901.1,antibiotic inactivation,0
AIA11886.1,antibiotic target replacement,0
AIA11880.1,antibiotic target replacement,0
AIA11871.1,antibiotic target replacement,0
AIA11853.1,antibiotic target replacement,0
AIA11851.1,antibiotic target replacement,0
AIA11760.1,antibiotic target replacement,0
AIA11679.1,antibiotic target replacement,0
AIA11647.1,antibiotic target replacement,0
AIA11632.1,antibiotic target replacement,0
AIA11578.1,antibiotic target replacement,0
AIA11548.1,antibiotic target alteration,0
AIA11536.1,antibiotic efflux,0
AIA11491.1,antibiotic efflux,0
AIA11480.1,antibiotic target replacement,0
AIA11438.1,antibiotic inactivation,0
AIA11433.1,antibiotic inactivation,0
AIA11417.1,antibiotic target replacement,0
AIA11381.1,antibiotic target alteration,0
AIA11382.1,antibiotic target replacement,0
AIA11374.1,antibiotic target replacement,0
AIA11336.1,antibiotic inactivation,0
AIA11317.1,antibiotic target replacement,0
AIA11281.1,antibiotic target replacement,0
AIA11268.1,antibiotic inactivation,0
AIA11265.1,antibiotic inactivation,0
AIA11237.1,antibiotic inactivation,0
AIA11179.1,antibiotic efflux,0
AIA11177.1,antibiotic efflux,0
AIA11172.1,antibiotic efflux,0
AIA11163.1,antibiotic target replacement,0
AIA11124.1,antibiotic target replacement,0
AIA11115.1,antibiotic inactivation,0
AIA11099.1,antibiotic target replacement,0
AIA11087.1,antibiotic target alteration,0
AIA11012.1,antibiotic inactivation,0
AIA11006.1,antibiotic inactivation,0
AIA10996.1,antibiotic target replacement,0
AIA10993.1,antibiotic target replacement,0
AIA10951.1,antibiotic inactivation,0
AIA10916.1,antibiotic inactivation,0
AIA10905.1,antibiotic inactivation,0
AIA10897.1,antibiotic target replacement,0
AIA10882.1,antibiotic target alteration,0
AIA10870.1,antibiotic target replacement,0
AIA10855.1,antibiotic inactivation,0
AIA10826.1,antibiotic target replacement,0
AIA10794.1,antibiotic target replacement,0
AIA10784.1,antibiotic inactivation,0
AIA10768.1,antibiotic target alteration,0
AIA10744.1,antibiotic target replacement,0
AIA10739.1,antibiotic target replacement,0
AIA10700.1,antibiotic target replacement,0
AIA10639.1,antibiotic efflux,0
AIA10611.1,antibiotic target replacement,0
AIA10593.1,antibiotic inactivation,0
AIA10573.1,antibiotic target replacement,0
AIA10532.1,antibiotic target replacement,0
AIA10504.1,antibiotic inactivation,0
AIA10502.1,antibiotic inactivation,0
AIA10458.1,antibiotic efflux,0
AIA10455.1,antibiotic efflux,0
AIA10444.1,antibiotic inactivation,0
AIA10438.1,antibiotic efflux,0
AMJ38575.1,antibiotic efflux,0
AMJ38557.1,antibiotic efflux,0
AMJ38548.1,antibiotic efflux,0
AMJ38521.1,antibiotic efflux,0
AMJ38505.1,antibiotic efflux,0
AMJ38504.1,antibiotic inactivation,0
AMJ38494.1,antibiotic inactivation,0
AMJ38489.1,antibiotic target alteration,0
AMJ38407.1,antibiotic efflux,0
AMJ38377.1,antibiotic inactivation,0
AMJ38326.1,antibiotic efflux,0
AMJ38292.1,antibiotic inactivation,0
AMJ38287.1,antibiotic inactivation,0
AMJ38255.1,antibiotic inactivation,0
AMJ38221.1,antibiotic efflux,0
AMJ38208.1,antibiotic efflux,0
AMJ38206.1,antibiotic efflux,0
AMJ38176.1,antibiotic inactivation,0
AMJ38151.1,antibiotic inactivation,0
AMJ38123.1,antibiotic inactivation,0
AMJ38059.1,antibiotic inactivation,0
AMJ37940.1,antibiotic efflux,0
AMJ37929.1,antibiotic inactivation,0
AMJ37901.1,antibiotic target protection,0
AMJ37776.1,antibiotic target replacement,0
AMJ37770.1,antibiotic inactivation,0
AMJ37723.1,antibiotic inactivation,0
AMJ37691.1,antibiotic efflux,0
AMJ37632.1,antibiotic efflux,0
AMJ37631.1,antibiotic efflux,0
AMJ37564.1,antibiotic efflux,0
